0.000485235	1.67249E-11
0.00059716	1.99389E-11
0.000810138	2.33105E-11
0.000919013	2.65747E-11
0.001011068	2.99471E-11
0.001041149	3.33818E-11
0.00103085	3.66307E-11
0.001095437	3.99634E-11
0.001513528	4.32058E-11
0.001633924	4.66314E-11
0.001721028	4.99151E-11
0.001682718	5.32528E-11
0.001619919	5.66418E-11
0.001906893	5.98821E-11
0.002113544	6.33024E-11
0.002235421	6.65931E-11
0.002110089	6.99777E-11
0.002112468	7.32845E-11
0.002340728	7.65642E-11
0.002669531	7.99535E-11
0.002821618	8.3183E-11
0.002559717	8.66103E-11
0.002747929	8.98587E-11
0.003031715	9.32341E-11
0.003311618	9.66255E-11
0.003422306	9.98678E-11
0.003533819	1.03298E-10
0.003421772	1.0655E-10
0.003152371	1.09945E-10
0.00325534	1.13191E-10
0.003837985	1.16531E-10
0.004127492	1.19941E-10
0.004045574	1.23187E-10
0.004311521	1.26554E-10
0.004300793	1.29886E-10
0.00463216	1.33266E-10
0.004869604	1.36558E-10
0.005051416	1.39891E-10
0.005196545	1.43298E-10
0.00531356	1.46476E-10
0.005377913	1.49934E-10
0.005395105	1.53154E-10
0.005447953	1.56564E-10
0.00550288	1.60002E-10
0.005602775	1.63238E-10
0.005708455	1.66582E-10
0.005824668	1.69822E-10
0.005567557	1.73263E-10
0.005423754	1.76501E-10
0.006027646	1.79885E-10
0.006066618	1.83286E-10
0.006125251	1.86512E-10
0.006063439	1.89918E-10
0.006147031	1.93183E-10
0.006295777	1.96539E-10
0.006361934	1.99909E-10
0.006567079	2.03167E-10
0.00668504	2.06553E-10
0.006758018	2.09843E-10
0.006866068	2.13235E-10
0.00696877	2.16474E-10
0.007081068	2.19854E-10
0.007137969	2.23187E-10
0.006109749	2.26512E-10
0.006386521	2.29907E-10
0.006865332	2.33136E-10
0.007110461	2.36491E-10
0.007244175	2.39812E-10
0.007156529	2.43175E-10
0.00713284	2.46565E-10
0.006276675	2.49842E-10
0.006706003	2.53243E-10
0.007351343	2.56505E-10
0.007534717	2.59914E-10
0.007639045	2.63143E-10
0.007201602	2.66553E-10
0.007502791	2.69935E-10
0.007964652	2.73176E-10
0.007968018	2.7656E-10
0.0080025	2.79804E-10
0.008018762	2.83236E-10
0.007055607	2.8653E-10
0.007325801	2.89878E-10
0.007573851	2.93246E-10
0.00825267	2.96488E-10
0.00794178	2.99911E-10
0.007208123	3.03121E-10
0.007312047	3.06546E-10
0.008446828	3.09948E-10
0.008394506	3.13189E-10
0.008396011	3.16573E-10
0.007657605	3.19784E-10
0.007254871	3.23222E-10
0.007533252	3.26463E-10
0.007120672	3.29855E-10
0.007482929	3.33275E-10
